ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,STM32F103CBT6,U5,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32F103CBT6,STMicroelectronics,LCSC,C8304
2,1uF,"C17,C16,C18,C19",C0603,4,0603X105K500,Walsin Tech Corp,LCSC,C141872
3,SWD,SWD1,SWD,1,n/a,n/a,n/a,n/a
4,100nF,"C4,C5,C6,C7,C8,C9,C10,C11,C21,C22,C23",C0402,11,0402B104K250,Huaxin S&T,LCSC,C106829
5,LD1117D33CTR,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LD1117D33CTR,STMicroelectronics,LCSC,C157440
6,10uF,C1,CASE-A_3216,1,TAJA225M006RNJ,AVX,LCSC,C444746
7,Blue,LED1,LED_0603,1,D-G060306G1-KS2,Wuxi ARK Tech Elec,LCSC,C118334
8,4.7uF,"C13,C15",C0603,2,CL10A475MP8NNNC,Samsung Electro-Mechanics,LCSC,C307473
9,QG-2864KSWEG01,OLED1,OLED-0.96-12864,1,QG-2864KSWEG01,Allvision,LCSC,C85007
10,TS5A3159ADCKR,U3,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BL,1,TS5A3159ADCKR,Texas Instruments,LCSC,C475493
11,100K,"R10,R11",R0402,2,SY0402JN100KP,SANYEAR,LCSC,C380749
12,B,JP1,SJ_2S-NO-NS,1,n/a,n/a,n/a,n/a
13,U-F-M5WD-W-1,USB1,MICRO-USB-A4,1,U-F-M5WD-W-1,HRO,LCSC,C145779
14,10,"R3,R4,R5",R0402,3,RTT0210R0FTH,RALEC,LCSC,C102766
15,CSTNE8M00G55Z000,X2,CSTNE8M00G55Z000,1,CSTNE8M00G55Z000,Murata Electronics North America,Digi-Key,490-17960-1-ND
16,Dn,SW3,SW-SMD_L6.0-W6.0-LS6.6,1,SPEH110100,ALPS Electric,LCSC,C97448
17,Ent,SW2,SW-SMD_L6.0-W6.0-LS6.6,1,SPEH110100,ALPS Electric,LCSC,C97448
18,Up,SW1,SW-SMD_L6.0-W6.0-LS6.6,1,SPEH110100,ALPS Electric,LCSC,C97448
19,OLED_SPI_7pin_Module,U1,OLED12864_SPI,1,"OLED SPI 0.96""",n/a,n/a,n/a
20,10K,"R6,R7,R8",R0402,3,CR0402JF0103G,LIZ,LCSC,C100572
21,2.2K,R12,R0402,1,RMC04022.2K5%N,Tyohm,LCSC,C269678
22,OPA337NA250G4,"U4,U6",SOT23-5,2,n/a,n/a,n/a,n/a
23,2.2uF,C20,C0402,1,C1005X5R1A225KT000E,TDK,LCSC,C76594
24,"1PS76SB40,115",D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,"1PS76SB40,115",Nexperia,LCSC,C179320
25,Header Left,H1,HDR-TH_12P-P2.00-V-M-R2-C6-S2.00,1,PZ200V-12-12P,XFCN,LCSC,C541867
26,Header Right,H2,HDR-TH_12P-P2.00-V-M-R2-C6-S2.00,1,PZ200V-12-12P,XFCN,LCSC,C541867
27,910K,R9,R0402,1,RC0402JR-07910KL,YAGEO,LCSC,C163435
28,1.5K,R2,R0402,1,CR0402JF0152G,LIZ,LCSC,C100590